time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,radius_km
123000,SAT_40,STARLINK-30375,SAT,-2896843.83,5045646.56,3770279.23,561.12,-1,10.0.3.40,6932.911282860779
123000,SAT_41,STARLINK-6365,SAT,-1778025.31,6337165.59,2183065.38,558.46,-1,10.0.3.41,6934.465817309591
123000,SAT_42,STARLINK-30999,SAT,-1205115.5,6316165.39,2363174.27,475.03,-1,10.0.3.42,6850.608822036487
123000,SAT_43,STARLINK-35930,SAT,-2738628.62,5092451.87,3687100.11,485.75,-1,10.0.3.43,6857.686197815676
123000,SAT_44,STARLINK-3807,SAT,-2400072.88,4624230.9,4541609.75,542.71,-1,10.0.3.44,6911.590292191904
123000,SAT_45,STARLINK-4147,SAT,-1067635.54,5709980.05,3747997.89,541.29,-1,10.0.3.45,6913.118399182351
123000,SAT_46,STARLINK-31746,SAT,-3172120.96,5461276.98,2672988.25,483.17,-1,10.0.3.46,6858.043731399451
123000,SAT_47,STARLINK-11420 [DTC],SAT,-1317067.77,5769024.31,3208067.77,357.86,-1,10.0.3.47,6731.122329675529
123000,SAT_48,STARLINK-32631,SAT,-2493185.43,5498417.96,3236237.25,476.6,-1,10.0.3.48,6849.949283717538
123000,SAT_49,STARLINK-11369 [DTC],SAT,-2012943.8,5035146.27,3987885.77,360.5,-1,10.0.3.49,6731.112361030816
123000,SAT_50,STARLINK-30993,SAT,-2398020.57,5142858.72,3982109.04,561.23,-1,10.0.3.50,6932.293334422086
124000,SAT_01,STARLINK-31405,SAT,-2225529.04,5317563.97,3712498.57,484.69,-1,10.0.3.1,6856.537881115915
124000,SAT_02,STARLINK-31055,SAT,-1831584.1,5967791.84,2820852.04,475.79,-1,10.0.3.2,6850.288022595513
124000,SAT_03,STARLINK-11276 [DTC],SAT,-2482860.54,5688985.82,2613533.27,360.06,-1,10.0.3.3,6734.961935649455
124000,SAT_04,STARLINK-11707 [DTC],SAT,-2341199.01,5394691.47,3271380.0,356.41,-1,10.0.3.4,6729.475162694022
124000,SAT_05,STARLINK-35901,SAT,-2545018.72,5600987.86,2943461.42,445.84,-1,10.0.3.5,6819.981702618141
124000,SAT_06,STARLINK-5790,SAT,-2118725.82,5928657.51,2905277.51,559.51,-1,10.0.3.6,6933.874557657203
124000,SAT_07,STARLINK-3086,SAT,-1648280.28,5221991.93,4276654.51,578.07,-1,10.0.3.7,6948.078971652908
124000,SAT_08,STARLINK-5564,SAT,-2103240.53,5258878.58,3998521.96,562.08,-1,10.0.3.8,6933.08030465678
124000,SAT_09,STARLINK-32545,SAT,-1737644.49,5427787.13,3811467.96,484.7,-1,10.0.3.9,6856.206641600555
124000,SAT_10,STARLINK-34752,SAT,-2372129.09,5998719.66,2309346.2,475.92,-1,10.0.3.10,6851.621257071145
124000,SAT_11,STARLINK-32596,SAT,-2239451.89,4872229.13,4259498.43,478.3,-1,10.0.3.11,6848.144882960463
124000,SAT_12,STARLINK-11641 [DTC],SAT,-1674346.83,5073112.14,4097379.56,362.45,-1,10.0.3.12,6732.63866183625
